query,country,category,domain,homepage_url,http_status,duration_ms,emails_all,email_best,phones,priority,last_seen,email_sent
universidad site:.cl,cl,universidad,uach.cl,https://www.uach.cl/,200,3076,"contacto@uach.cl, admision@uach.cl",contacto@uach.cl,"407405049980137, +56632221277, 11072025, 025-09-54734029, 800600310, 800 600 310, 56958533553, +56 63 2221277, +56 63 2221823, +56 65 2277100, 1758701933, 27179444, 83-4002-966",8,2025-09-24T10:18:54.536627,No
universidad site:.cl,cl,universidad,uta.cl,https://www.uta.cl/,200,3223,"mesa-de-trabajo-2@3x.png, mesa-de-trabajo-2@3x-300x98.png, mesa-de-trabajo-2@3x-768x251.png, mesa-de-trabajo-6@3x.png, mesa-de-trabajo-6@3x-300x98.png, mesa-de-trabajo-6@3x-768x251.png, mesa-de-trabajo-10@3x.png, mesa-de-trabajo-10@3x-300x98.png, mesa-de-trabajo-10@3x-768x251.png, direseciqq@uta.cl, recstgo@gestion.uta.cl",direseciqq@uta.cl,"1722004726, 1681140564, 1731507107, 1681140582, 1681140580, 1754320889, 1731521957, 1743514025, 1758024118, 1757968503, 392452077454638, 09-12-104044, 06-06-153429, 09-16-111451, 09-16-101913, 09-16-100447, 1000045975-768, 1000045975-300, 1000045975-1024, 1000045975-1536, 1000045975-2048, 09-08-092300, 296327149, 64812051, +56 57 2727100, +56 58 2386093, 1721932950, 1722005703, 1721931880, 1721933540, 1757449699, 43131247, 4274064330, 132462343107488",10,2025-09-24T10:23:19.613189,No
universidad site:.pe,pe,universidad,udep.edu.pe,https://www.udep.edu.pe/,200,6584,jose.rodriguez.co@udep.edu.pe,jose.rodriguez.co@udep.edu.pe,"122750408774203, 20200730, 1757956869, 16343774, 460.355 421, 106.51-106.512, 385.73 124.935, 792 50 218.685, 04 74.934-167, 107 74.935 167, 167.04 167.042, 419.945 462, 52.96-118.055, 118.056-118.055, 52.96 118.057, 118.057 118.057, 0 13.565.777, 374.595 319.757, 255.977 438.378, 137.348 374.595, 73.607 255.995, 192.225 137.375, 137.352 192.246, 374.625 137.352, 438.393 256.002, 319.734 374.652, 448.225 394.243, 99-75.652-168, 64-168.643-168, 344.233-175, 155 52.192-116, 353 52.194 116, 5 335.117 220, 342 335.117, 35-52.196-116, 35-116.352, 69.75 170.248, 482-51.037-119, 984-56.532-170, 54796177206, 180973398587234, 1758650671, 553009802, 185289992530334, 111183129633950, 181185010365045, 1758553244, 552400191, 185287796920334, 850060140385541, 180555874733961, 1758385724, 551070571, 185284032760334, 117222068911877, 180532970515427, 1758318409, 551446146, 185282411650334, 897117780274533, (073) 284500, (01) 2139600, 20172627421",1,2025-09-24T10:52:42.714633,No
universidad site:.pe,pe,universidad,cientifica.edu.pe,https://www.cientifica.edu.pe/,200,1089,"informes@cientifica.edu.pe, minombre@gmail.com",informes@cientifica.edu.pe,"2147483647, 02173813, 00000057, 28202736, 122222222222, 19999999, 99999999, 1222222222, 122222222, 2545228171, 2545228172, 2545228173, 2545228174, 2545228175, 12222200, 14113355, 999999999, 11131206, 72500208, 28195827, 28202808, 28202806, 28202805, 02173834, 51641544, 29202512, 17082149, 17081721, 17081453, 20111827, 25010258, 20112725, 25010248, 25010314, 25013826, 10083003, +51 955 656 442, 10084057, 10083831, 19232243, 64201665, 10084817, 51955656442, 55038929, 65414126, 36237169, 60012443, 10090640, 27135820, 27102920, 12.2216386, 76.9767202, 51) 955 656, 11.9440801, 77.0743422, 11.9440854, 77.0717673, 12.0165774, 76.8927462, 76.8901713, 12.1037581, 77.0188991, 04165129, 28234609, 24161049, 00633-2024, 983 233 126, 1.137468099594",6,2025-09-24T10:52:37.220507,No
universidad site:.bo,bo,universidad,usalesiana.edu.bo,https://www.usalesiana.edu.bo/,200,2112,info@modinatheme.com,info@modinatheme.com,"1726235842014, (000) 000-000, 78037635, 59178458937, (591) 78458937, 59172060082, (591) 72060082, 59171565440, (591) 71565440, 59171596613, (591) 71596613, 59177722868, (591) 77722868, 59172042937, (591) 72042937, 59172059088, (591) 72059088, 59171568290, (591) 71568290, 122470167513579",1,2025-09-24T11:14:03.337695,No
universidad site:.bo,bo,universidad,upal.edu.bo,https://upal.edu.bo/en/,200,2469,upal@upal.edu,upal@upal.edu,"1758644201, 290353145677822, 20220721, 100737-150, 200.105.168.212, 353491418065572, +59161791499, 99999999, 1757657538, 191692609",2,2025-09-24T11:14:03.694397,No
universidad site:.bo,bo,universidad,ucb.edu.bo,https://cba.ucb.edu.bo/,200,4486,erevollo@ucb.edu.bo,erevollo@ucb.edu.bo,"1758140855, 71.1702128, (255 255 255, (64 217 241, 005 10.005.797, 10140-1018, 10190-1019, 32.666666, 23.4042553, 33.33333333, 66.66666667, 16.66666667, 1.66666667, 999999998, 99999999, 999999999, 99999999999999, 9999999999, 999999997, 16.53846154, 1.53846154, (70.710678, 1.41421356237, 14.2857143, 91.66666667, 83.33333333, 58.33333333, 41.66666667, 8.33333333, 264453626735223, 1946870439, 168918822379080, 33.333333333333, 2.242826950, 599264798.1631, 714853-17426558, 30.1627396882, 66.666666666667, 20250901, 20250902, 20250903, 20250904, 20250905, 20250906, 20250907, 20250908, 20250909, 20250910, 20250911, 20250912, 20250913, 20250914, 20250915, 20250916, 20250917, 20250918, 20250919, 20250920, 20250921, 20250922, 20250923, 20250924, 20250925, 20250926, 20250927, 20250928, 20250929, 20250930, 20251001, 20251002, 20251003, 20251004, 20251005, 20452-20250901, 20452-20250902, 20452-20250903, 20452-20250904, 20452-20250905, 20452-20250906, 20452-20250907, 20452-20250908, 20452-20250909, 20452-20250910, 20452-20250911, 20452-20250912, 20452-20250913, 20452-20250914, 20452-20250915, 20452-20250916, 20452-20250917, 20452-20250918, 20452-20250919, 20452-20250920, 20452-20250921, 20452-20250922, 20452-20250923, 20452-20250924, 20452-20250925, 20452-20250926, 20452-20250927, 20452-20250928, 20452-20250929, 20452-20250930, 20452-20251001, 20452-20251002, 20452-20251003, 20452-20251004, 20452-20251005, 1758705243, 2.196762796, 1051655514.1624, 540093-56341009, 0.1617458429, 59162728028, 168.83 200.504, 365.083 199, 34.432 357.903, 318.087 318.087, 982 52.982-132, 708 62.922-195, 18.956 214.905, 28.836 134, 218-65.217 170, 956-65.217 236, 661 57.416 102, 661 44.265 157, 1702323004, 76987233",3,2025-09-24T11:14:05.712595,No
universidad site:.bo,bo,universidad,usfa.edu.bo,https://www.usfa.edu.bo/,200,618,info@usfa.edu.bo,info@usfa.edu.bo,"99614230425, +591 77719830, +59177719830, 59177719830, 1.25.625.625, 9976709828, 294500227, 77719830, 3825.32130507, 68.129026724854, 16.509868884235, 1699987243757, +59168099395, 68099395, 3825.32052813, 68.167500150632, 16.509908145299, 1666287663784, +59168404055, 68404055, 3713.65288084, 65.7178373, 21.442884699999, 9407292191, 1699987172533, +59163682109, 63682109, 3697.15911668, 65.5996026, 22.0817395, 1699987210079",5,2025-09-24T11:14:01.843385,No
universidad site:.bo,bo,universidad,udabol.edu.bo,https://www.udabol.edu.bo/,200,2003,"cbueno@udabol.edu.bo, proyectos@udabol.edu.bo, investigacion@udabol.edu.bo, postgrado@udabol.edu.bo, lingua@udabol.edu.bo, cambridge@udabol.edu.bo",cbueno@udabol.edu.bo,"113545235322, 1738016461051, 1587772578772, 1720083862337, 9823497364, 1726702987864, 1726721861923, 1726721880318, 1726722427165, 1726722356096, 1720084473060, 2987364034, 1720086075229, 1720086055627, 1720086104746, 1720086143812, 1720086170960, 1720086204481, 1720088707209, 1720088728210, 1720089705134, 1720089721673, 1720089734316, 1720089748184, 1720094281181, 1493801182915, 0.498039215686, 0.549019607843, 0.988235294117, 0.717647058823, 0.254901960784, 0.278431372549, 0.592156862745, 0.647058823529, 0.780392156862, 0.949019607843, 0.352941176470, 0.470588235294, 0.650980392156, 0.403921568627, 0.447058823529, 0.098039215686, 0.662745098039, 0.847058823529, 0.419607843137, 277355312, 982929947, 1379432000, 17.7686031, 63.2015043, 230645713, 16.5055459, 68.1289566, 16.5055511, 68.1267679, 92374028347, 92374028347-300, 92374028347-1024, 92374028347-768, 92374028347-1536, 92374028347-2048, 92374028347-370, 92374028347-760, 92374028347-270, 59167706341, 67706341, 59172135786, 72135786, 59172135778, 72135778, 59167894332, 67894332, +591 33443838, 59172135793, +59172135793, 66593081, 99999999",6,2025-09-24T11:14:03.229038,No
universidad site:.bo,bo,universidad,ueb.edu.bo,https://ueb.edu.bo/,200,1768,uebmail@ueb.edu.bo,uebmail@ueb.edu.bo,"1471270116615, 1657123937015, 1472552174667, 1619558498251, 1682112696128, 1739978534401, 1471004146248, 1740581053788, 1470899825055, 0.498039215686, 0.549019607843, 0.988235294117, 0.717647058823, 0.254901960784, 0.278431372549, 0.592156862745, 0.647058823529, 0.780392156862, 0.949019607843, 0.352941176470, 0.470588235294, 0.650980392156, 0.403921568627, 0.447058823529, 0.098039215686, 0.662745098039, 0.847058823529, 0.419607843137, 34.125.225.194, 1469698928990, 1469698929084, 1470045415053, 1626989664362, 1626989710009, 1626989735759, 1626989751286, 1626989774623, 497576155, 111636567720057, 477244965855910, 495261763, 111122360104811, 925700867646663, 492002937, 109474486602932, 846776151642656, 1748964844913, 491546688, 109239632959750, 573652977861448, 1652881196422, 62000255, 98137918, 217249219",8,2025-09-24T11:14:02.994192,No
